corte,id_avaluo,numero_finca,provincia,canton,distrito,zona,tipologia,perito_id,perito_activo,nivel_confiabilidad,accion_sugerida,moneda,valor_garantia,saldo,ltv,fecha_valor,dias_antiguedad,saldo_equivalente_crc,reglas_incumplidas,detalle,responsables,prioridad,entra_este_mes
2026-04,AV-2024-000011,1-215558,San José,Tibás,San Juan,GAM_CENTRO,Casa de habitación,PER-007,SI,REVISAR,Verificación documental,CRC,209253000.00,256176360.73,1.2242,2024-09-23,584,256176360.73,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 400000.0 y 1350000.0 (GAM_CENTRO, CRC)",Perito Revisor,264,false
2026-04,AV-2024-000026,5-497653,Guanacaste,Nicoya,Nicoya,CIUDAD_INTERMEDIA,Local comercial,PER-002,SI,REVISAR,Verificación documental,USD,1864670.00,848230.19,0.4549,2024-11-05,541,432597396.9,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 10 km del centroide; observado 67.2 km,Perito Revisor,216,false
2026-04,AV-2024-000086,2-716120,Alajuela,Alajuela,Alajuela,GAM_CENTRO,Local comercial,PER-003,SI,REVISAR,Verificación documental,CRC,9717965000.00,,,2024-12-11,505,,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 350000.0 y 1400000.0 (GAM_CENTRO, CRC)",Perito Revisor,419,false
2026-04,AV-2024-000111,4-341659-124,Heredia,Heredia,Heredia,GAM_CENTRO,Apartamento,PER-002,SI,NO_CONFIABLE,Re-inspección,CRC,266827000.00,152907834.94,0.5731,2024-08-05,633,152907834.94,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 258024034.85,Perito Revisor,49,true
2026-04,AV-2024-000121,1-247630,San José,Montes de Oca,San Pedro,GAM_CENTRO,Terreno baldío urbano,PER-003,SI,REVISAR,Verificación documental,CRC,790749000.00,99076997.76,0.1253,2024-12-01,515,99076997.76,"R-06, R-07","R-06 La coordenada debe corresponder al distrito declarado: a menos de 3 km del centroide; observado 83.9 km | R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 100000.0 y 550000.0 (GAM_CENTRO, CRC)",Perito Revisor,367,false
2026-04,AV-2024-000242,4-222358,Heredia,Sarapiquí,Puerto Viejo,RURAL,Casa de habitación,PER-006,SI,REVISAR,Verificación documental,CRC,237954000.00,156655851.92,0.6583,2023-08-06,998,156655851.92,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,317,false
2026-04,AV-2024-000258,1-793119-348,San José,Curridabat,Curridabat,GAM_CENTRO,Condominio horizontal,PER-003,SI,REVISAR,Verificación documental,USD,762431.00,528726.93,0.6935,2024-10-02,575,269650734.3,R-06,R-06 La coordenada debe corresponder al distrito declarado: coordenada dentro del territorio nacional,Perito Revisor,258,false
2026-04,AV-2024-000269,2-694960,Alajuela,Alajuela,Alajuela,GAM_CENTRO,Casa de habitación,PER-009,SI,REVISAR,Verificación documental,CRC,984097000.00,434302164.02,0.4413,2021-05-26,1800,434302164.02,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,213,false
2026-04,AV-2024-000274,3-390426,Cartago,Turrialba,Turrialba,CIUDAD_INTERMEDIA,Local comercial,PER-007,SI,REVISAR,Verificación documental,CRC,585129000.00,416511206.26,0.7118,2023-02-12,1173,416511206.26,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,217,false
2026-04,AV-2024-000345,1-433880-114,San José,Tibás,San Juan,GAM_CENTRO,Condominio horizontal,PER-002,SI,REVISAR,Verificación documental,USD,1077522.00,754932.64,0.7006,2024-04-23,737,385015646.40000004,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,222,false
