corte,rule_id,nombre,accion,avaluos,cumple,incumple,no_aplica,pct_cobertura
2026-03,R-01,No pueden existir dos avalúos con el mismo identificador,BLOQUEA,4000,3960,40,0,100.0
2026-03,R-02,Los campos obligatorios deben venir informados,BLOQUEA,4000,3910,90,0,100.0
2026-03,R-03,El valor total debe cuadrar con la suma de sus componentes,BLOQUEA,4000,3854,109,37,99.08
2026-03,R-04,La tipología y lo construido deben ser compatibles,BLOQUEA,4000,3745,50,205,94.88
2026-03,R-05,Las fechas deben tener orden lógico,BLOQUEA,4000,3927,50,23,99.43
2026-03,R-06,La coordenada debe corresponder al distrito declarado,REVISA,4000,3720,280,0,100.0
2026-03,R-07,El valor por m² de terreno debe estar dentro del rango de la zona,REVISA,4000,2181,247,1572,60.7
2026-03,R-08,El avalúo no debe superar la vigencia de política,REVISA,4000,3426,574,0,100.0
2026-04,R-01,No pueden existir dos avalúos con el mismo identificador,BLOQUEA,4000,3984,16,0,100.0
2026-04,R-02,Los campos obligatorios deben venir informados,BLOQUEA,4000,3963,37,0,100.0
2026-04,R-03,El valor total debe cuadrar con la suma de sus componentes,BLOQUEA,4000,3934,54,12,99.7
2026-04,R-04,La tipología y lo construido deben ser compatibles,BLOQUEA,4000,3776,26,198,95.05
2026-04,R-05,Las fechas deben tener orden lógico,BLOQUEA,4000,3973,17,10,99.75
2026-04,R-06,La coordenada debe corresponder al distrito declarado,REVISA,4000,3879,121,0,100.0
2026-04,R-07,El valor por m² de terreno debe estar dentro del rango de la zona,REVISA,4000,2333,88,1579,60.53
2026-04,R-08,El avalúo no debe superar la vigencia de política,REVISA,4000,3806,194,0,100.0
