sk_regla,rule_id,nombre,dimension,accion,campo_principal,responsable,activa,justificacion
1,R-01,No pueden existir dos avalúos con el mismo identificador,UNICIDAD,BLOQUEA,id_avaluo,Coordinación de Calidad,SI,"Un identificador duplicado hace imposible saber cuál de los dos registros es el real. Se bloquean ambos, no solo el segundo: no hay forma de saber cuál sobra."
2,R-02,Los campos obligatorios deben venir informados,COMPLETITUD,BLOQUEA,(varios),Coordinación de Calidad,SI,"Sin fecha de valor, moneda o valor total el registro no puede usarse para ningún cálculo. Vacío, espacios y N/A cuentan como ausencia. La obligatoriedad de valor_unitario_construccion_m2 es condicional: solo aplica si hay área construida."
3,R-03,El valor total debe cuadrar con la suma de sus componentes,CONSISTENCIA,BLOQUEA,valor_total_inmueble,Perito Revisor,SI,"total = terreno + construcción + obras complementarias, con tolerancia igual a medio paso de redondeo (₡500 o US$0,50). Un total que no se puede reproducir es indefendible ante auditoría."
4,R-04,La tipología y lo construido deben ser compatibles,CONSISTENCIA,BLOQUEA,area_construccion_m2,Perito Revisor,SI,"Un terreno baldío con 180 m² construidos es una imposibilidad, no una rareza. Para tipologías OPCIONAL (finca agrícola) la regla no aplica."
5,R-05,Las fechas deben tener orden lógico,CRONOLOGIA,BLOQUEA,fecha_valor,Coordinación de Calidad,SI,"Inspección ≤ fecha de valor ≤ informe, y ninguna en el futuro. Una inspección posterior a la fecha de valor es una imposibilidad lógica, no una demora."
6,R-06,La coordenada debe corresponder al distrito declarado,INTEGRIDAD,REVISA,latitud,Perito Revisor,SI,"Distancia al centroide del distrito contra el radio declarado en geografia.csv. Es aproximada: una propiedad en el límite distrital puede caer fuera del radio siendo correcta. Por eso revisa, no bloquea."
7,R-07,El valor por m² de terreno debe estar dentro del rango de la zona,PLAUSIBILIDAD,REVISA,valor_unitario_terreno_m2,Perito Revisor,SI,"Rango por zona × tipología × moneda en rangos_vu.csv. Un valor fuera de rango puede ser un error de digitación o una propiedad excepcional: bloquearlo generaría tanto ruido que el negocio aprendería a ignorar la alerta. Sin rango de referencia la regla devuelve NO_APLICA, nunca cumple."
8,R-08,El avalúo no debe superar la vigencia de política,VIGENCIA,REVISA,fecha_valor,Jefe de Garantías,SI,"Más de 24 meses entre la fecha de valor y la fecha de corte. Un avalúo vencido sigue siendo un avalúo válido, solo que viejo: la garantía existe, pero su valor ya no es confiable. El umbral es política interna del banco."
9,R-09,El área construida debe ser proporcional al terreno,PLAUSIBILIDAD,REVISA,area_construccion_m2,Perito Revisor,NO,"Cobertura = área construida ÷ área terreno, dentro del rango por tipología. Detectaría áreas intercambiadas o dígitos de más."
10,R-10,No pueden existir coordenadas idénticas entre fincas distintas,UNICIDAD,REVISA,latitud,Perito Revisor,NO,Dos fincas distintas con la misma coordenada exacta indican copiado del avalúo anterior. También detectaría coordenadas con precisión insuficiente (centroide genérico).
