corte,rule_id,nombre,dimension,accion,responsable,incidencias,avaluos_afectados,pct,pct_acumulado,ranking
2026-03,R-01,No pueden existir dos avalúos con el mismo identificador,UNICIDAD,BLOQUEA,Coordinación de Calidad,40,40,2.78,100.0,8
2026-03,R-02,Los campos obligatorios deben venir informados,COMPLETITUD,BLOQUEA,Coordinación de Calidad,90,90,6.25,90.28,5
2026-03,R-03,El valor total debe cuadrar con la suma de sus componentes,CONSISTENCIA,BLOQUEA,Perito Revisor,109,109,7.57,84.03,4
2026-03,R-04,La tipología y lo construido deben ser compatibles,CONSISTENCIA,BLOQUEA,Perito Revisor,50,50,3.47,97.22,7
2026-03,R-05,Las fechas deben tener orden lógico,CRONOLOGIA,BLOQUEA,Coordinación de Calidad,50,50,3.47,93.75,6
2026-03,R-06,La coordenada debe corresponder al distrito declarado,INTEGRIDAD,REVISA,Perito Revisor,280,280,19.44,59.31,2
2026-03,R-07,El valor por m² de terreno debe estar dentro del rango de la zona,PLAUSIBILIDAD,REVISA,Perito Revisor,247,247,17.15,76.46,3
2026-03,R-08,El avalúo no debe superar la vigencia de política,VIGENCIA,REVISA,Jefe de Garantías,574,574,39.86,39.86,1
2026-04,R-01,No pueden existir dos avalúos con el mismo identificador,UNICIDAD,BLOQUEA,Coordinación de Calidad,16,16,2.89,100.0,8
2026-04,R-02,Los campos obligatorios deben venir informados,COMPLETITUD,BLOQUEA,Coordinación de Calidad,37,37,6.69,89.33,5
2026-04,R-03,El valor total debe cuadrar con la suma de sus componentes,CONSISTENCIA,BLOQUEA,Perito Revisor,54,54,9.76,82.64,4
2026-04,R-04,La tipología y lo construido deben ser compatibles,CONSISTENCIA,BLOQUEA,Perito Revisor,26,26,4.7,94.03,6
2026-04,R-05,Las fechas deben tener orden lógico,CRONOLOGIA,BLOQUEA,Coordinación de Calidad,17,17,3.07,97.11,7
2026-04,R-06,La coordenada debe corresponder al distrito declarado,INTEGRIDAD,REVISA,Perito Revisor,121,121,21.88,56.96,2
2026-04,R-07,El valor por m² de terreno debe estar dentro del rango de la zona,PLAUSIBILIDAD,REVISA,Perito Revisor,88,88,15.91,72.88,3
2026-04,R-08,El avalúo no debe superar la vigencia de política,VIGENCIA,REVISA,Jefe de Garantías,194,194,35.08,35.08,1
